Date,Keyword,Page,Impressions,Clicks,CTR,Position
2023-04-25,buy shoes,/contact,175,57,32.57,3.65
2023-04-15,travel deals,/products,352,216,61.36,1.6
2023-04-06,seo services,/blog/seo,308,308,100.0,1.5
2023-07-23,travel deals,/services/design,162,114,70.37,12.2
2023-01-07,digital marketing,/services/design,224,71,31.7,3.95
2023-12-11,cheap laptops,/products,244,24,9.84,7.82
2023-12-19,web design,/contact,463,22,4.75,14.86
2024-07-03,cheap laptops,/services/design,90,70,77.78,6.57
2024-01-06,web design,/blog/seo,410,35,8.54,1.87
2023-08-22,best smartphones,/products,487,119,24.44,17.46
2024-01-25,best smartphones,/blog/fitness,375,186,49.6,4.09
2023-12-30,seo services,/contact,409,349,85.33,13.31
2023-06-25,travel deals,/blog/seo,133,118,88.72,8.21
2024-07-24,seo services,/services/marketing,481,393,81.7,15.74
2023-08-23,buy shoes,/services/marketing,255,137,53.73,2.26
2024-08-03,python tutorial,/blog/seo,385,255,66.23,8.52
2024-04-14,digital marketing,/contact,121,31,25.62,15.15
2024-07-05,best smartphones,/products/smartphones,269,204,75.84,7.88
2023-05-22,travel deals,/blog/fitness,96,96,100.0,1.9
2023-04-23,digital marketing,/blog/python,455,348,76.48,9.02
2023-03-07,learn sql,/services/design,355,239,67.32,11.05
2024-07-20,buy shoes,/products,399,274,68.67,15.27
2023-12-15,cheap laptops,/contact,272,80,29.41,9.62
2023-09-27,travel deals,/blog/python,309,54,17.48,17.54
2023-11-02,travel deals,/products/smartphones,151,39,25.83,8.1
2023-06-15,travel deals,/blog/travel,50,38,76.0,7.16
2023-01-20,cheap laptops,/services/marketing,499,425,85.17,16.33
2023-09-03,buy shoes,/blog/seo,499,290,58.12,18.99
2023-03-29,fitness tips,/products,439,272,61.96,15.55
2023-05-12,fitness tips,/blog/travel,134,67,50.0,11.03
2024-03-09,seo services,/blog/travel,436,373,85.55,14.11
2023-11-16,learn sql,/services/marketing,274,264,96.35,9.58
2023-09-11,seo services,/products,223,5,2.24,12.18
2023-08-24,web design,/blog/seo,53,4,7.55,14.45
2023-03-02,seo services,/products,66,42,63.64,2.35
2023-09-01,best smartphones,/blog/fitness,159,138,86.79,3.51
2024-08-07,web design,/blog/fitness,174,121,69.54,16.34
2023-07-14,cheap laptops,/products,387,220,56.85,7.73
2024-02-25,fitness tips,/home,394,334,84.77,19.7
2023-04-11,buy shoes,/services/design,422,173,41.0,16.21
2023-04-22,seo services,/blog/seo,147,137,93.2,9.52
2024-03-08,digital marketing,/contact,286,127,44.41,17.62
2023-03-19,fitness tips,/blog/travel,100,6,6.0,13.39
2024-07-07,buy shoes,/products,435,434,99.77,5.49
2024-02-21,fitness tips,/blog/fitness,159,102,64.15,18.15
2023-06-18,learn sql,/home,249,67,26.91,18.6
2024-04-10,best smartphones,/services/design,406,374,92.12,19.91
2024-07-23,fitness tips,/blog/python,147,75,51.02,5.14
2023-03-01,web design,/blog/travel,81,40,49.38,2.09
2024-08-21,fitness tips,/blog/travel,486,271,55.76,3.99
2024-06-04,cheap laptops,/blog/python,85,76,89.41,2.29
2023-08-29,learn sql,/products,341,126,36.95,12.0
2023-02-10,web design,/products,264,161,60.98,18.76
2023-07-29,python tutorial,/blog/seo,185,101,54.59,3.49
2023-11-04,fitness tips,/services/marketing,434,37,8.53,1.18
2024-07-30,cheap laptops,/products,325,109,33.54,10.61
2023-05-16,python tutorial,/products,500,125,25.0,8.02
2023-06-11,fitness tips,/blog/travel,410,154,37.56,12.62
2024-06-25,buy shoes,/blog/travel,203,169,83.25,2.97
2023-05-18,best smartphones,/products,104,95,91.35,11.51
2023-10-06,best smartphones,/products/smartphones,157,87,55.41,4.87
2023-09-28,travel deals,/blog/fitness,178,13,7.3,2.75
2024-03-09,best smartphones,/home,51,21,41.18,15.65
2023-09-26,digital marketing,/blog/fitness,332,218,65.66,11.66
2023-04-25,cheap laptops,/blog/python,329,18,5.47,16.86
2024-08-19,travel deals,/blog/python,270,65,24.07,1.79
2024-01-09,buy shoes,/services/marketing,157,63,40.13,13.67
2023-12-29,travel deals,/services/design,367,79,21.53,18.59
2023-08-31,digital marketing,/blog/python,261,12,4.6,4.41
2023-12-07,learn sql,/blog/seo,186,40,21.51,15.96
2023-04-21,learn sql,/home,489,240,49.08,5.23
2024-04-16,python tutorial,/contact,470,407,86.6,17.56
2023-08-17,buy shoes,/blog/seo,254,84,33.07,6.29
2023-03-13,best smartphones,/services/marketing,378,260,68.78,8.59
2024-07-03,python tutorial,/home,109,33,30.28,4.39
2023-09-29,buy shoes,/products,355,222,62.54,7.57
2023-11-18,learn sql,/products/smartphones,311,59,18.97,8.32
2024-08-13,seo services,/contact,72,55,76.39,1.03
2024-07-05,seo services,/services/marketing,270,35,12.96,19.03
2023-12-05,web design,/services/marketing,389,63,16.2,14.68
2023-11-04,travel deals,/contact,391,209,53.45,7.2
2023-10-30,travel deals,/blog/python,148,107,72.3,13.63
2024-01-24,digital marketing,/products/smartphones,341,154,45.16,8.72
2023-01-01,best smartphones,/contact,157,110,70.06,15.93
2023-11-26,fitness tips,/blog/fitness,276,109,39.49,10.71
2023-06-23,cheap laptops,/contact,313,171,54.63,2.77
2023-08-29,best smartphones,/blog/seo,462,101,21.86,3.8
2023-02-17,seo services,/blog/fitness,362,37,10.22,9.65
2024-08-12,seo services,/services/design,303,204,67.33,5.64
2023-01-06,cheap laptops,/services/design,162,45,27.78,16.28
2024-06-14,fitness tips,/home,335,127,37.91,18.43
2023-05-05,fitness tips,/blog/python,460,237,51.52,13.68
2024-07-26,web design,/services/marketing,436,226,51.83,12.64
2024-05-31,learn sql,/blog/travel,278,81,29.14,15.13
2024-05-01,fitness tips,/contact,434,126,29.03,16.96
2023-10-11,travel deals,/blog/fitness,370,122,32.97,6.22
2023-03-21,best smartphones,/blog/seo,189,85,44.97,7.07
2024-07-07,cheap laptops,/blog/python,127,59,46.46,8.28
2023-06-06,seo services,/products,262,208,79.39,7.29
2024-04-22,learn sql,/home,155,107,69.03,8.4
2024-08-21,buy shoes,/products/smartphones,244,122,50.0,1.11
2023-12-27,best smartphones,/services/design,486,456,93.83,19.12
2024-03-05,travel deals,/blog/travel,459,308,67.1,18.06
2024-05-14,seo services,/contact,273,248,90.84,1.55
2023-12-11,learn sql,/blog/python,480,239,49.79,18.47
2024-06-30,buy shoes,/services/design,353,288,81.59,13.6
2023-03-27,learn sql,/blog/python,493,236,47.87,4.45
2023-09-24,learn sql,/services/marketing,158,116,73.42,7.21
2024-01-24,best smartphones,/services/design,179,20,11.17,9.94
2024-07-06,buy shoes,/services/marketing,164,17,10.37,15.84
2023-02-11,buy shoes,/blog/seo,152,5,3.29,12.81
2023-09-02,digital marketing,/blog/fitness,392,58,14.8,11.72
2023-08-12,fitness tips,/contact,442,188,42.53,4.19
2023-04-28,digital marketing,/contact,105,74,70.48,1.49
2023-11-16,web design,/services/design,253,241,95.26,14.59
2023-03-19,web design,/blog/seo,102,89,87.25,15.68
2023-05-04,web design,/home,227,136,59.91,9.14
2024-01-15,cheap laptops,/blog/travel,381,174,45.67,1.24
2024-03-06,fitness tips,/products,271,185,68.27,13.08
2024-04-15,digital marketing,/services/design,140,133,95.0,19.34
2023-10-04,web design,/blog/travel,446,247,55.38,9.83
2023-10-02,python tutorial,/blog/seo,475,44,9.26,6.3
2024-04-06,seo services,/blog/fitness,341,312,91.5,13.7
2023-12-11,buy shoes,/blog/fitness,485,166,34.23,4.45
2023-08-06,python tutorial,/contact,224,71,31.7,17.73
2023-10-10,travel deals,/home,314,97,30.89,2.63
2024-02-21,fitness tips,/blog/travel,438,123,28.08,14.12
2024-05-17,fitness tips,/home,97,37,38.14,5.21
2023-09-07,best smartphones,/products/smartphones,238,121,50.84,11.52
2023-12-19,learn sql,/blog/travel,219,90,41.1,14.35
2023-10-05,best smartphones,/contact,168,30,17.86,14.7
2023-11-20,cheap laptops,/blog/travel,440,353,80.23,4.52
2023-08-10,fitness tips,/contact,420,301,71.67,19.56
2024-06-21,web design,/contact,101,24,23.76,6.63
2024-01-05,digital marketing,/contact,57,45,78.95,11.15
2023-10-08,buy shoes,/home,333,149,44.74,14.25
2023-05-10,fitness tips,/products,496,6,1.21,11.91
2024-04-25,fitness tips,/blog/fitness,224,47,20.98,19.34
2023-09-16,fitness tips,/products,470,33,7.02,8.61
2023-03-17,web design,/home,127,38,29.92,16.41
2023-11-08,cheap laptops,/blog/seo,110,71,64.55,15.52
2023-08-20,travel deals,/services/design,280,226,80.71,6.65
2024-03-15,best smartphones,/products/smartphones,367,30,8.17,12.58
2023-04-12,seo services,/blog/seo,185,169,91.35,2.54
2023-09-03,digital marketing,/blog/travel,88,20,22.73,1.05
2024-04-06,web design,/blog/fitness,199,8,4.02,5.4
2023-10-17,fitness tips,/products,401,119,29.68,18.55
2023-07-22,learn sql,/products,328,115,35.06,13.31
2023-09-30,digital marketing,/products,80,21,26.25,16.06
2024-08-05,best smartphones,/blog/fitness,113,59,52.21,14.08
2024-02-17,best smartphones,/blog/travel,326,252,77.3,9.32
2023-02-10,learn sql,/services/marketing,359,128,35.65,1.49
2023-08-23,web design,/products/smartphones,60,48,80.0,13.77
2023-10-03,web design,/home,440,387,87.95,4.33
2024-06-15,fitness tips,/contact,142,111,78.17,13.06
2024-05-18,cheap laptops,/blog/fitness,228,104,45.61,7.33
2023-04-18,digital marketing,/services/marketing,260,253,97.31,6.48
2024-02-15,travel deals,/home,282,45,15.96,6.98
2023-11-28,cheap laptops,/services/design,492,263,53.46,16.67
2023-01-02,travel deals,/blog/fitness,261,27,10.34,4.56
2024-01-06,web design,/blog/fitness,370,226,61.08,15.44
2023-07-28,best smartphones,/blog/travel,117,36,30.77,9.32
2024-05-11,cheap laptops,/home,372,311,83.6,16.19
2023-06-12,best smartphones,/blog/travel,57,35,61.4,8.75
2023-08-19,cheap laptops,/blog/fitness,110,82,74.55,16.81
2024-05-25,best smartphones,/blog/travel,411,139,33.82,8.89
2024-05-09,fitness tips,/blog/seo,283,282,99.65,3.75
2023-07-15,web design,/blog/travel,432,69,15.97,17.42
2023-10-10,learn sql,/services/marketing,453,259,57.17,6.08
2023-01-03,best smartphones,/contact,478,300,62.76,12.02
2024-05-16,digital marketing,/blog/fitness,325,247,76.0,7.56
2024-07-19,travel deals,/services/design,283,164,57.95,17.52
2023-09-02,web design,/services/design,169,105,62.13,1.83
2024-04-29,learn sql,/services/design,389,333,85.6,19.64
2024-05-22,buy shoes,/blog/python,307,302,98.37,7.31
2023-04-13,fitness tips,/products,319,233,73.04,1.29
2023-05-28,learn sql,/blog/python,88,60,68.18,15.85
2023-09-29,python tutorial,/products/smartphones,404,203,50.25,13.35
2023-12-03,travel deals,/services/design,212,160,75.47,14.66
2024-05-14,travel deals,/home,366,35,9.56,5.46
2023-10-22,seo services,/products,272,50,18.38,15.45
2023-04-13,fitness tips,/blog/python,405,153,37.78,18.17
2023-02-17,python tutorial,/home,200,91,45.5,8.12
2023-05-30,seo services,/blog/travel,260,92,35.38,4.23
2023-03-22,web design,/services/design,367,349,95.1,5.58
2024-08-20,digital marketing,/blog/seo,286,130,45.45,9.73
2023-01-10,fitness tips,/contact,396,279,70.45,4.0
2024-03-28,python tutorial,/products/smartphones,203,163,80.3,19.28
2023-09-14,fitness tips,/contact,151,98,64.9,17.21
2023-04-20,seo services,/services/design,342,183,53.51,11.92
2023-10-30,buy shoes,/services/design,190,2,1.05,11.75
